Classified,GrndTruth,pop,w,lon,lat
30,-1,2220.903934661298990,7239369.510618703439832,32.295994529898913,2.746169932332279
12,-1,110.280854642391205,3400097.702501770108938,33.581847809103756,2.616712731313625
13,-1,367.968952448107302,1454586.788561654742807,33.186257631526843,2.204100845473679
22,-1,3582.947356887161732,3418472.158469256479293,30.127243982236998,1.815800415260092
22,-1,1383.144462965428829,1319651.216393000911921,30.276873563627692,1.807711186580299
30,-1,1034.454547427594662,3371959.765522358939052,34.373750235546112,1.281938113853766
22,-1,917.444569405168295,875329.276446624076925,34.171498336158038,0.901790482357227
23,-1,1606.724646575748920,2514283.063194060698152,30.049612894031505,0.740030518792860
21,-1,707.326980010606349,7741715.016025487333536,34.409973120722903,0.707678813106016
21,-1,541.182060934603214,5923253.892391060478985,34.538975771266308,0.529745871162085
23,-1,1579.953701533377171,2472390.549844505265355,33.031770840774378,0.335639417063255
21,-1,863.010140534490347,9445671.878454213961959,33.690310902846903,0.335639417063255
22,-1,1269.974006764590740,1211675.849984062137082,34.498291885428635,0.206235987007236
23,-1,6081.481843430548906,9516606.862692294642329,31.545927544307332,-0.634887785376397
21,-1,395.830082940869033,4332372.132690300233662,34.300363381448882,-0.740030518792860
12,-1,284.078284966759384,8758491.464164249598980,34.211228281982770,-0.869438285115863
13,-1,441.713762432336807,1746101.128601463744417,26.422300443241998,-1.573129310973810
21,-1,437.154835686087608,4784672.791229300200939,28.967504540751552,-1.605484796933384
13,-1,1094.461102738976479,4326421.156043714843690,35.126360600033401,6.495695943207303
21,-1,420.579680524766445,4603257.220733984373510,35.968096514841015,0.974583334988045
21,-1,1395.998383827507496,15279244.190943585708737,34.617910771969548,0.084920642184087
21,-1,738.388677334412932,8081686.225085469894111,34.789222068798480,-0.723854654895959
30,-1,1582.487776659429073,5158356.281187907792628,17.064174942698468,-4.810290792013669
11,-1,15.048099271953106,9235086.465365834534168,18.672887741506610,-5.304377543705213
23,-1,1545.264819562435150,2418107.652892276644707,19.770290430361147,-5.644655659588408
13,-1,1324.116954196244478,5234254.181692067533731,22.181648646201133,-6.033638899634041
